"","Sampleid","Purity","Ploidy","Sex","Contamination","Flagged","Failed","Curated","Comment"
"78","X620958881fe54bb58e1505b83a93d71a_gdc_realn",0.72,2.01658291101889,"FALSE",0.0301871206643318,TRUE,FALSE,FALSE,"NOISY SEGMENTATION;POTENTIAL SAMPLE CONTAMINATION"
"79","X4abe78f38c3ed6d4063d02f410dca522_gdc_realn",0.61,4.61507370688612,"FALSE",0,TRUE,FALSE,FALSE,"RARE KARYOTYPE;NOISY SEGMENTATION"
"80","a77b4b93215f2ac1023bc17d4abe9b68_gdc_realn",0.8,3.68761755068432,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"81","X9cc1297d0ed71445c59ab1fa672643db_gdc_realn",0.91,2.87182693908629,"FALSE",0,TRUE,FALSE,FALSE,"HIGH PURITY AND model.homozygous=FALSE;NOISY SEGMENTATION"
"82","X7ea981fe075c3b52eb37e5dd7852a88b_gdc_realn",0.63,4.37952822875939,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"83","b9fc97d4f2a0c5636c3bb9c3098a47a6_gdc_realn",0.6,2.90002094810877,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"84","X9dad5502f3ebfda5a7dd2e94e0ef6ec4_gdc_realn",0.87,4.07974372886669,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"85","X4523ab60daa8fdf1016cbd18af3dbb5c_gdc_realn",0.68,3.17912267624551,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"86","X06a5011df15ad0ed6cb532db4047245a_gdc_realn",0.52,1.86101596845519,"FALSE",0,TRUE,FALSE,FALSE,"POOR GOF (79.6%);NOISY SEGMENTATION"
"87","X067d45306340f1d2fb31594e684e56e6_gdc_realn",0.59,1.77188742309121,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"88","c23998773ffb923266c6ed5f04eaaca2_gdc_realn",0.92,4.33190940634879,"Coverage: F VCF: M",0,TRUE,FALSE,FALSE,"HIGH PURITY AND model.homozygous=FALSE;NOISY SEGMENTATION"
"89","X753e7c8b620c270bc8173c545b141c4e_gdc_realn",0.82,1.9284695373332,"FALSE",0.00430724908944071,TRUE,FALSE,FALSE,"NOISY SEGMENTATION;POTENTIAL SAMPLE CONTAMINATION"
