"","SampleId","Purity_tumor_only","Ploidy_tumor_only","Purity_matching_normal","Ploidy_matching_normal"
"105","TCGA-30-1862-01A-02W",0.68,2.46686418213225,0.67,2.46666561129885
"106","TCGA-30-1891-01A-01W",0.72,1.83326742954018,0.72,1.83366705158939
"107","TCGA-31-1950-01A-01W",0.34,3.00481077381942,0.28,4.46267319205786
"108","TCGA-31-1953-01A-01W",0.58,3.64587574533231,0.58,3.64585341182319
"109","TCGA-31-1959-01A-01W",0.4,3.18657948063945,0.39,3.18696587406406
"110","TCGA-57-1992-01A-01W",0.67,3.23849326612524,0.67,3.2394450144215
"111","TCGA-57-1993-01A-01W",0.71,4.27540644650021,0.71,4.27661484259434
"112","TCGA-57-1994-01A-01W",0.6,3.49715188341775,0.59,3.49848887226081
"113","TCGA-59-2348-01A-01D",0.62,3.29137054462711,0.62,3.29328875643073
"114","TCGA-59-2348-01A-01W",0.68,3.33659923293227,0.68,3.3366517848553
"115","TCGA-59-2349-01A-01W",0.41,2.05560288635129,0.65,2.05474103848322
"116","TCGA-59-2350-01A-01W",0.83,1.68266777184634,0.83,1.68270550163088
"117","TCGA-59-2351-01A-01W",0.51,2.97710470877177,0.5,2.97734601266867
"118","TCGA-59-2352-01A-01W",0.64,3.5663347216553,0.64,3.55715331951068
"119","TCGA-59-2354-01A-01W",0.64,1.84750360913619,0.64,1.84755088473091
"120","TCGA-59-2355-01A-01W",0.73,1.88436453479082,0.73,1.88450802075117
"121","TCGA-59-2363-01A-01W",0.9,1.69254125754375,0.91,1.69254611916952
"123","TCGA-61-1728-01A-01W",0.39,3.21255967028143,0.79,4.48845864195795
"124","TCGA-61-1736-01B-01W",0.78,1.79576427416746,0.78,1.79583722150321
"125","TCGA-61-1919-01A-01W",0.5,2.87013085773987,0.4,3.27163532599213
"126","TCGA-61-1995-01A-01W",0.8,1.64283880954785,0.8,1.64283789368754
"127","TCGA-61-1998-01A-01W",0.39,2.73732702418243,0.46,3.73835458657535
"128","TCGA-61-2000-01A-01W",0.6,3.03289762080493,0.61,3.02830367023089
"129","TCGA-61-2002-01A-01W",0.66,1.88884137533482,0.66,1.8888411183627
"130","TCGA-61-2003-01A-01W",0.44,3.58720224923061,0.44,3.57717462977178
"131","TCGA-61-2008-01A-02W",0.69,3.08377094981141,0.69,3.08131154527319
"132","TCGA-61-2009-01A-01W",0.52,3.38908567240979,0.48,3.51369701051619
"133","TCGA-61-2012-01A-01W",0.61,2.84958308551437,0.6,2.86719398179584
"134","TCGA-61-2016-01A-01W",0.82,1.70675922113004,0.72,3.39427663622124
