"","x"
"210","TCGA-62-A46Y-01A-11D"
"211","TCGA-62-A470-01A-11D"
"212","TCGA-62-A471-01A-12D"
"213","TCGA-62-A472-01A-11D"
"214","TCGA-64-1677-01A-01W"
"215","TCGA-64-1679-01A-21D"
"216","TCGA-64-1681-01A-11D"
"217","TCGA-64-5774-01A-01D"
"218","TCGA-64-5775-01A-01D"
"219","TCGA-64-5778-01A-01D"
"220","TCGA-64-5779-01A-01D"
"221","TCGA-64-5781-01A-01D"
"222","TCGA-64-5815-01A-01D"
"223","TCGA-67-3772-01A-01W"
"224","TCGA-67-4679-01B-01D"
"225","TCGA-67-6215-01A-11D"
"226","TCGA-67-6216-01A-11D"
"227","TCGA-67-6217-01A-11D"
"228","TCGA-69-7760-01A-11D"
"229","TCGA-69-7761-01A-11D"
"230","TCGA-69-7763-01A-11D"
"231","TCGA-69-7764-01A-11D"
"232","TCGA-69-7765-01A-11D"
"233","TCGA-69-7973-01A-11D"
"234","TCGA-69-7974-01A-11D"
"235","TCGA-69-7978-01A-11D"
"236","TCGA-69-7979-01A-11D"
"237","TCGA-69-7980-01A-11D"
"238","TCGA-69-8253-01A-11D"
"239","TCGA-69-8254-01A-11D"
"240","TCGA-69-8255-01A-11D"
"241","TCGA-71-6725-01A-11D"
"242","TCGA-73-4658-01A-01D"
"243","TCGA-73-4659-01A-01D"
"244","TCGA-73-4662-01A-01D"
"245","TCGA-73-4666-01A-01D"
"246","TCGA-73-4668-01A-01D"
"247","TCGA-73-4670-01A-01D"
"248","TCGA-73-4675-01A-01D"
"249","TCGA-73-4676-01A-01D"
"250","TCGA-73-4677-01A-01D"
"251","TCGA-73-7498-01A-12D"
"252","TCGA-73-7499-01A-11D"
"253","TCGA-73-A9RS-01A-11D"
"254","TCGA-75-5122-01A-01D"
"255","TCGA-75-5125-01A-01D"
"256","TCGA-75-5126-01A-01D"
"257","TCGA-75-5146-01A-01D"
"258","TCGA-75-5147-01A-01D"
"259","TCGA-75-6203-01A-11D"
"260","TCGA-75-6205-01A-11D"
"261","TCGA-75-6207-01A-11D"
"262","TCGA-75-6211-01A-11D"
"263","TCGA-75-6212-01A-11D"
"264","TCGA-75-6214-01A-41D"
"265","TCGA-75-7025-01A-12D"
"266","TCGA-75-7027-01A-11D"
"267","TCGA-75-7031-01A-11D"
"268","TCGA-78-7145-01A-11D"
"269","TCGA-78-7146-01A-11D"
"270","TCGA-78-7147-01A-11D"
"271","TCGA-78-7148-01A-11D"
"272","TCGA-78-7149-01A-11D"
"273","TCGA-78-7150-01A-21D"
"274","TCGA-78-7152-01A-11D"
"275","TCGA-78-7153-01A-11D"
"276","TCGA-78-7154-01A-11D"
"277","TCGA-78-7155-01A-11D"
"278","TCGA-78-7156-01A-11D"
"279","TCGA-78-7158-01A-11D"
"280","TCGA-78-7159-01A-11D"
"281","TCGA-78-7160-01A-11D"
"282","TCGA-78-7161-01A-11D"
"283","TCGA-78-7162-01A-21D"
"284","TCGA-78-7163-01A-12D"
"285","TCGA-78-7166-01A-12D"
